"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","phsp","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","19102","PA","19102","=""19102""","98.38","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19103","PA","19103","=""19103""","98.08","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19104","PA","19104","=""19104""","88.91","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19106","PA","19106","=""19106""","95.36","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19107","PA","19107","=""19107""","90.45","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19108","PA","19108","=""19108""","89.80","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19109","PA","19109","=""19109""","N/A","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19111","PA","19111","=""19111""","86.44","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19112","PA","19112","=""19112""","N/A","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19114","PA","19114","=""19114""","91.96","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19115","PA","19115","=""19115""","91.64","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19116","PA","19116","=""19116""","90.18","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19118","PA","19118","=""19118""","97.94","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19119","PA","19119","=""19119""","95.46","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19120","PA","19120","=""19120""","75.46","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19121","PA","19121","=""19121""","82.80","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19122","PA","19122","=""19122""","85.48","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19123","PA","19123","=""19123""","92.34","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19124","PA","19124","=""19124""","80.49","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19125","PA","19125","=""19125""","92.81","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19126","PA","19126","=""19126""","92.03","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19127","PA","19127","=""19127""","97.62","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19128","PA","19128","=""19128""","94.66","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19129","PA","19129","=""19129""","96.36","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19130","PA","19130","=""19130""","98.06","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19131","PA","19131","=""19131""","92.22","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19132","PA","19132","=""19132""","80.94","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19133","PA","19133","=""19133""","62.52","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19134","PA","19134","=""19134""","74.59","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19135","PA","19135","=""19135""","82.18","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19136","PA","19136","=""19136""","88.38","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19137","PA","19137","=""19137""","87.72","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19138","PA","19138","=""19138""","86.74","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19139","PA","19139","=""19139""","87.11","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19140","PA","19140","=""19140""","72.34","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19141","PA","19141","=""19141""","84.23","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19142","PA","19142","=""19142""","83.70","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19143","PA","19143","=""19143""","90.14","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19144","PA","19144","=""19144""","89.52","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19145","PA","19145","=""19145""","88.83","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19146","PA","19146","=""19146""","92.80","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19147","PA","19147","=""19147""","93.19","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19148","PA","19148","=""19148""","82.98","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19149","PA","19149","=""19149""","76.35","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19150","PA","19150","=""19150""","92.21","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19151","PA","19151","=""19151""","92.71","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19152","PA","19152","=""19152""","87.71","2018-2022","2020","Census","Philadelphia (County, 2022)"
"Zip Code Tabulation Area","19154","PA","19154","=""19154""","90.21","2018-2022","2020","Census","Philadelphia (County, 2022)"
