zip,income_household_median,,,,,,,,,,,,,
19102,115597,,,,,,,,,,,,,
19103,83988,,,,,,,,,,,,,
19104,30734,,,,,,,,,,,,,
19106,126287,,,,,,,,,,,,,
19107,62280,,,,,,,,,,,,,
19111,55569,,,,,,,,,,,,,
19114,70838,,,,,,,,,,,,,
19115,62044,,,,,,,,,,,,,
19116,59390,,,,,,,,,,,,,
19118,86475,,,,,,,,,,,,,
19119,72685,,,,,,,,,,,,,
19120,44195,,,,,,,,,,,,,
19121,29691,,,,,,,,,,,,,
19122,43981,,,,,,,,,,,,,
19123,83008,,,,,,,,,,,,,
19124,38293,,,,,,,,,,,,,
19125,89505,,,,,,,,,,,,,
19126,54936,,,,,,,,,,,,,
19127,81042,,,,,,,,,,,,,
19128,80803,,,,,,,,,,,,,
19129,81641,,,,,,,,,,,,,
19130,92097,,,,,,,,,,,,,
19131,42309,,,,,,,,,,,,,
19132,26041,,,,,,,,,,,,,
19133,27811,,,,,,,,,,,,,
19134,37821,,,,,,,,,,,,,
19135,46311,,,,,,,,,,,,,
19136,56752,,,,,,,,,,,,,
19137,52034,,,,,,,,,,,,,
19138,44455,,,,,,,,,,,,,
19139,32531,,,,,,,,,,,,,
19140,27006,,,,,,,,,,,,,
19141,34651,,,,,,,,,,,,,
19142,37621,,,,,,,,,,,,,
19143,38928,,,,,,,,,,,,,
19144,37322,,,,,,,,,,,,,
19145,59216,,,,,,,,,,,,,
19146,86372,,,,,,,,,,,,,
19147,93996,,,,,,,,,,,,,
19148,63497,,,,,,,,,,,,,
19149,50592,,,,,,,,,,,,,
19150,54121,,,,,,,,,,,,,
19151,49337,,,,,,,,,,,,,
19152,56835,,,,,,,,,,,,,
19153,57830,,,,,,,,,,,,,
19154,79833,,,,,,,,,,,,,
00704,17.97442,,,,,,,,,,,,,
00705,18.1294,,,,,,,,,,,,,
00707,18.01752,,,,,,,,,,,,,
00714,17.9981,,,,,,,,,,,,,
00715,17.99738,,,,,,,,,,,,,
00716,17.99942,,,,,,,,,,,,,
00717,18.00272,,,,,,,,,,,,,
00718,18.23145,,,,,,,,,,,,,
00719,18.28879,,,,,,,,,,,,,
00720,18.21559,,,,,,,,,,,,,
00723,18.03139,,,,,,,,,,,,,
00725,18.22052,,,,,,,,,,,,,
00727,18.21142,,,,,,,,,,,,,
00728,18.00697,,,,,,,,,,,,,
00729,18.33524,,,,,,,,,,,,,
00730,18.03256,,,,,,,,,,,,,
00731,18.09914,,,,,,,,,,,,,
00735,18.2525,,,,,,,,,,,,,
00736,18.10736,,,,,,,,,,,,,
00738,18.31793,,,,,,,,,,,,,
00739,18.17543,,,,,,,,,,,,,
00740,18.33251,,,,,,,,,,,,,
00741,18.16569,,,,,,,,,,,,,
00745,18.3466,,,,,,,,,,,,,
00751,18.01205,,,,,,,,,,,,,
00754,18.1447,,,,,,,,,,,,,
00757,17.9933,,,,,,,,,,,,,
00765,18.12365,,,,,,,,,,,,,
00766,18.13039,,,,,,,,,,,,,
00767,18.07033,,,,,,,,,,,,,
00769,18.09459,,,,,,,,,,,,,
00771,18.18797,,,,,,,,,,,,,
00772,18.43048,,,,,,,,,,,,,
00773,18.34073,,,,,,,,,,,,,
00775,18.31387,,,,,,,,,,,,,
00777,18.22365,,,,,,,,,,,,,
00778,18.26319,,,,,,,,,,,,,
00780,18.09998,,,,,,,,,,,,,
00782,18.22501,,,,,,,,,,,,,
00783,18.30348,,,,,,,,,,,,,
00784,18.00558,,,,,,,,,,,,,
00786,18.1357,,,,,,,,,,,,,
00791,18.14391,,,,,,,,,,,,,
00794,18.19934,,,,,,,,,,,,,
00795,18.05128,,,,,,,,,,,,,
00802,18.34349,,,,,,,,,,,,,
00820,17.7388,,,,,,,,,,,,,
00830,18.33857,,,,,,,,,,,,,
00840,17.72649,,,,,,,,,,,,,
00850,17.72763,,,,,,,,,,,,,
00851,17.74757,,,,,,,,,,,,,
00901,18.46478,,,,,,,,,,,,,
00906,18.46446,,,,,,,,,,,,,
00907,18.45287,,,,,,,,,,,,,
00909,18.44131,,,,,,,,,,,,,
00911,18.45133,,,,,,,,,,,,,
00912,18.44503,,,,,,,,,,,,,
00913,18.45024,,,,,,,,,,,,,
00915,18.43673,,,,,,,,,,,,,
00917,18.4208,,,,,,,,,,,,,
00918,18.42139,,,,,,,,,,,,,
00920,18.41904,,,,,,,,,,,,,
00921,18.39206,,,,,,,,,,,,,
00923,18.41146,,,,,,,,,,,,,
00924,18.39987,,,,,,,,,,,,,
00925,18.40028,,,,,,,,,,,,,
00926,18.34691,,,,,,,,,,,,,
00927,18.38884,,,,,,,,,,,,,
00934,18.41372,,,,,,,,,,,,,
00949,18.43166,,,,,,,,,,,,,
00950,18.46201,,,,,,,,,,,,,
00951,18.43175,,,,,,,,,,,,,
00952,18.42874,,,,,,,,,,,,,
00953,18.36319,,,,,,,,,,,,,
00956,18.32121,,,,,,,,,,,,,
00957,18.36696,,,,,,,,,,,,,
00959,18.3852,,,,,,,,,,,,,
00960,18.41674,,,,,,,,,,,,,
00961,18.40987,,,,,,,,,,,,,
00962,18.43514,,,,,,,,,,,,,
00965,18.42853,,,,,,,,,,,,,
00966,18.39784,,,,,,,,,,,,,
00968,18.40609,,,,,,,,,,,,,
00969,18.36696,,,,,,,,,,,,,
00971,18.32067,,,,,,,,,,,,,
00976,18.33903,,,,,,,,,,,,,
00979,18.43734,,,,,,,,,,,,,
00982,18.40961,,,,,,,,,,,,,
00983,18.41788,,,,,,,,,,,,,
00985,18.40628,,,,,,,,,,,,,
00987,18.34115,,,,,,,,,,,,,
01001,42.06262,,,,,,,,,,,,,
01002,42.37633,,,,,,,,,,,,,
01003,42.39135,,,,,,,,,,,,,
01005,42.42117,,,,,,,,,,,,,
01007,42.28163,,,,,,,,,,,,,
01008,42.18234,,,,,,,,,,,,,
01009,42.21133,,,,,,,,,,,,,
01010,42.12904,,,,,,,,,,,,,
01011,42.30233,,,,,,,,,,,,,
01012,42.38495,,,,,,,,,,,,,
01013,42.16059,,,,,,,,,,,,,
01020,42.17618,,,,,,,,,,,,,
01022,42.19721,,,,,,,,,,,,,
